City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Shimoda,JP,42.91,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
92,Kahului,US,70.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
93,Christchurch,NZ,51.03,moderate rain,-43.5333,172.6333,The George
95,Mar Del Plata,AR,64.42,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
96,Sawakin,SD,72.39,clear sky,19.1059,37.3321,فندق الدويم
97,Burnie,AU,60.67,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
99,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Merchtem,BE,42.8,clear sky,50.9572,4.2303,Green Cottage
102,Castro,BR,79.79,clear sky,-24.7911,-50.0119,CHACARA BAILLY
103,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
104,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
105,Roebourne,AU,86.72,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
106,Kamienna Gora,PL,34.18,few clouds,50.7831,16.0304,Ranczo. Agroturystyka
107,Jadu,LY,53.49,few clouds,31.953,12.0261,امياس للصرافة
108,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
109,Paamiut,GL,21.16,light snow,61.994,-49.6678,Pistut
110,Manta,EC,80.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
111,Garissa,KE,90.05,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
114,Bairiki,KI,81.1,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
116,Husavik,IS,22.91,broken clouds,66.0449,-17.3389,Bjarnabúð
118,Ahuimanu,US,72.46,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
119,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Vao,NC,79.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
122,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,Tuensang,IN,47.03,few clouds,26.2833,94.8333,B.W.D Resthouse.
124,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
126,Grenville,GD,78.85,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
128,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
129,Intibuca,HN,69.53,broken clouds,14.3167,-88.1667,Hotel Ipsan-Nah
131,Talara,PE,83.16,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
132,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Jeremie,HT,82.24,few clouds,18.65,-74.1167,Auberge’Inn
135,Lao Cai,VN,63.82,overcast clouds,22.4833,103.95,Legend Hotel
