,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Canico,PT,32.6333,-16.85,67.71,77,40,10.36,scattered clouds
81,Griffith,US,41.5284,-87.4237,21.04,59,0,11.5,clear sky
82,Atar,MR,20.5169,-13.0499,82.99,13,19,16.28,few clouds
83,Berlevag,NO,70.8578,29.0864,26.6,79,85,18.92,overcast clouds
84,Leh,IN,34.1667,77.5833,1.11,63,100,1.9,overcast clouds
85,Bredasdorp,ZA,-34.5322,20.0403,70.92,73,57,5.75,broken clouds
86,Mumbwa,ZM,-14.9783,27.0619,66.4,90,86,2.08,light rain
87,Manono,CD,-7.3,27.4167,73.92,88,93,2.91,overcast clouds
88,Bintulu,MY,3.1667,113.0333,75.61,100,40,5.75,light rain
89,Port Hardy,CA,50.6996,-127.4199,38.75,93,100,3.44,fog
90,Springbok,ZA,-29.6643,17.8865,78.53,42,100,2.44,overcast clouds
91,Shimoda,JP,34.6667,138.95,42.91,66,97,2.26,overcast clouds
92,Kahului,US,20.8947,-156.47,70.84,82,20,3.44,few clouds
93,Christchurch,NZ,-43.5333,172.6333,51.03,92,100,10.36,moderate rain
94,High Level,CA,58.5169,-117.136,-2.09,84,75,5.75,broken clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,64.42,71,40,19.57,scattered clouds
96,Sawakin,SD,19.1059,37.3321,72.39,59,10,12.53,clear sky
97,Burnie,AU,-41.0667,145.9167,60.67,74,71,14.14,broken clouds
98,Bara,NG,10.3744,10.7288,85.78,12,86,7.61,overcast clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,84.16,85,87,3.0,overcast clouds
100,Egvekinot,RU,66.3167,-179.1667,-20.27,88,20,8.12,few clouds
101,Merchtem,BE,50.9572,4.2303,42.8,59,0,4.61,clear sky
102,Castro,BR,-24.7911,-50.0119,79.79,45,0,3.4,clear sky
103,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,18.41,broken clouds
104,Vanimo,PG,-2.6741,141.3028,77.74,86,91,6.89,overcast clouds
105,Roebourne,AU,-20.7833,117.1333,86.72,66,58,2.66,broken clouds
106,Kamienna Gora,PL,50.7831,16.0304,34.18,71,11,7.23,few clouds
107,Jadu,LY,31.953,12.0261,53.49,44,16,8.21,few clouds
108,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,1.14,scattered clouds
109,Paamiut,GL,61.994,-49.6678,21.16,94,100,13.44,light snow
110,Manta,EC,-0.95,-80.7333,80.38,78,100,5.75,overcast clouds
111,Garissa,KE,-0.4536,39.6401,90.05,27,66,8.16,broken clouds
112,Abalak,RU,58.1286,68.5944,3.88,91,100,7.87,overcast clouds
113,Takab,IR,36.4009,47.1133,17.89,83,23,3.98,few clouds
114,Bairiki,KI,1.3292,172.9752,81.1,71,25,16.06,scattered clouds
115,Verkhnyaya Inta,RU,65.9811,60.3094,6.69,89,100,12.03,light snow
116,Husavik,IS,66.0449,-17.3389,22.91,83,68,6.51,broken clouds
117,Fairbanks,US,64.8378,-147.7164,-5.98,78,0,4.61,clear sky
118,Ahuimanu,US,21.4447,-157.8378,72.46,84,40,6.91,scattered clouds
119,Mahebourg,MU,-20.4081,57.7,80.89,83,40,1.14,scattered clouds
120,Vao,NC,-22.6667,167.4833,79.95,82,100,6.2,overcast clouds
121,Popova,RU,42.9603,131.7228,12.29,65,32,14.88,scattered clouds
122,Souillac,MU,-20.5167,57.5167,80.98,83,40,1.14,scattered clouds
123,Tuensang,IN,26.2833,94.8333,47.03,98,11,1.23,few clouds
124,Ponta Delgada,PT,37.7333,-25.6667,65.5,67,75,14.97,broken clouds
125,Pangnirtung,CA,66.1451,-65.7125,-0.4,78,100,8.05,light snow
126,Grenville,GD,12.1167,-61.6167,78.85,67,48,13.42,scattered clouds
127,Troitsko-Pechorsk,RU,62.7084,56.1964,11.48,95,100,6.78,light snow
128,Tiarei,PF,-17.5333,-149.3333,77.02,76,91,14.81,overcast clouds
129,Intibuca,HN,14.3167,-88.1667,69.53,64,75,6.91,broken clouds
130,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,10.36,clear sky
131,Talara,PE,-4.5772,-81.2719,83.16,54,40,11.5,scattered clouds
132,Bengkulu,ID,-3.8004,102.2655,76.78,86,100,4.79,overcast clouds
133,Jeremie,HT,18.65,-74.1167,82.24,64,11,6.4,few clouds
134,Turukhansk,RU,65.8167,87.9833,-12.1,80,1,8.72,clear sky
135,Lao Cai,VN,22.4833,103.95,63.82,96,99,2.17,overcast clouds
136,Phulji,PK,26.8825,67.6807,65.73,26,0,2.51,clear sky
137,Saldanha,ZA,-33.0117,17.9442,69.85,88,100,18.19,overcast clouds
138,Codrington,AU,-38.2667,141.9667,63.93,66,16,10.58,few clouds
139,Tasiilaq,GL,65.6145,-37.6368,14.16,64,100,2.73,overcast clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,77.61,33,20,8.05,few clouds
141,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,86.95,65,1,8.28,clear sky
142,Morant Bay,JM,17.8815,-76.4093,87.42,75,34,14.36,scattered clouds
143,Stornoway,GB,58.2093,-6.3865,44.56,89,75,14.97,moderate rain
144,Kerman,IR,30.2832,57.0788,48.06,49,75,4.61,broken clouds
145,Olinda,BR,-8.0089,-34.8553,87.53,66,20,10.36,few clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,80,75,3.44,broken clouds
147,Banda Aceh,ID,5.5577,95.3222,77.9,86,43,13.02,scattered clouds
148,Kaspiyskiy,RU,45.3929,47.3707,41.14,74,96,10.56,overcast clouds
149,Champerico,GT,14.3,-91.9167,92.77,57,0,6.35,clear sky
150,Arica,CL,-18.475,-70.3042,83.75,53,0,11.5,clear sky
151,Zhigalovo,RU,54.8097,105.1578,-30.33,100,61,1.43,broken clouds
152,Kirra,GR,38.4333,22.45,55.8,73,96,3.96,overcast clouds
153,Cody,US,44.5263,-109.0565,26.2,73,0,7.0,clear sky
154,Cabedelo,BR,-6.9811,-34.8339,88.47,66,44,9.64,scattered clouds
155,Dikson,RU,73.5069,80.5464,-0.08,75,100,27.63,overcast clouds
